,homo (eV),lumo (eV),vertical_excitation_energy (eV),dipole_moment_norm_S0 (D),dipole_moment_norm_S1 (D),dipole_moment_norm_T1 (D),0-0_S1 (eV),0-0_T1 (eV),adiabatic_T1-S0 (kcal/mol),adiabatic_S1-S0 (kcal/mol),reduction_S0 (kcal/mol),oxidation_S0 (kcal/mol),lumo-homo (eV)
homo (eV),,0.353697258,0,1.11E-16,0,0,0.568271395,0.703332606,0.699063079,0.590045784,0.357560896,0.959347859,-2.22E-16
lumo (eV),0.352399229,,0.035140154,0.008692653,0,0,0,0.044653487,0.045750845,0.021721383,0,0.334479263,0.057170649
vertical_excitation_energy (eV),0.727014882,0.03487723,,0,0.14348043,0.328436151,0.894307524,0,0.76587003,0.902255699,0.03351274,0.740200793,0.8856041
dipole_moment_norm_S0 (D),0.136008104,0.009752942,0.14282911,,0.918954116,0.49081765,0.104389813,0.111987203,0.113392282,0.11892083,0.012454606,0.133465465,0.158367557
dipole_moment_norm_S1 (D),0.139817442,0.007403604,0.164786798,0.918874034,,0.46530222,0.108402543,0.126051348,0.127113143,0.128005441,0.009341824,0.138983544,0.16970351
dipole_moment_norm_T1 (D),0.331171511,0.000409487,0.000813464,0.517901602,0.486522792,,0.2768638,0.218728005,0.221046728,0.292749976,0.00026906,0.318692464,0.41008116
0-0_S1 (eV),0.56831417,0,0.892829339,0.086068146,0.09139112,0.26558634,,0.642503377,0.633210652,0.993988589,0.012070304,0.629058,0.712171551
0-0_T1 (eV),0,0,-2.22E-16,0.096594358,0.111385655,0.236547293,0.642474219,,0.993232652,0.663239088,-2.22E-16,1.11E-16,0
adiabatic_T1-S0 (kcal/mol),0.699059398,0.045735722,0.764584382,0.098104405,0.112751058,0.220272952,0.633183489,0.993232137,,0.662866243,0.045827933,0.728907176,0.823453205
adiabatic_S1-S0 (kcal/mol),0.590062128,0.021718067,0.900061316,0.102497339,0.110982114,0.286201188,0.993997106,0.663260893,0.662889101,,0.017608385,0.642870707,0.738760625
reduction_S0 (kcal/mol),-2.22E-16,0,0,0.010336361,0.007667978,0.01514383,0,0,0,-1.55E-15,,0,1.11E-16
oxidation_S0 (kcal/mol),1.11E-16,0.341085396,1.11E-16,0,0,0,0,0,0,-2.22E-16,0.339436667,,-2.22E-15
lumo-homo (eV),0.85243999,0,0,0.143055854,0.156627245,0.410060787,-4.44E-16,2.22E-16,0.823458251,0,0.061579279,0.822622667,