,homo (eV),lumo (eV),vertical_excitation_energy (eV),zpve_S0 (eV),zpve_S1 (eV),zpve_T1 (eV),total_electronic_energy_S0 (eV),total_electronic_energy_S1 (eV),total_electronic_energy_T1 (eV),dipole_moment_norm_S0 (D),dipole_moment_norm_S1 (D),dipole_moment_norm_T1 (D),0-0_S1 (eV),0-0_T1 (eV),reduction_potential_S0 (eV),reduction_potential_S1 (eV),reduction_potential_T1 (eV),oxidation_potential_S0 (eV),oxidation_potential_S1 (eV),oxidation_potential_T1 (eV),free_energy_S0,free_energy_AN,free_energy_CAT,free_energy_S1,free_energy_T1,adiabatic_T1-S0 (kcal/mol),adiabatic_S1-S0 (kcal/mol),reduction_S0 (kcal/mol),oxidation_S0 (kcal/mol),
homo (eV),,0.352360738,0.725726599,0.374591587,0.398922641,0.372656567,0.000748865,0.004265197,6.61E-05,0.122771322,0.128405905,0.331189194,0.568309087,0.703358917,0.357022143,0.821432692,0.883756099,0.00022091,0.000139715,0.000270231,0.000744355,0.000461008,0.000584734,0.001427787,6.47E-05,0.699092206,0.590081383,0.356628473,0.000101168,homo (eV)
lumo (eV),0.352360738,,0.034891242,0.130966888,0.161635072,0.136873475,0.100642644,0.082334119,0.105914295,0.008699176,0.006290736,0.013142289,0.016360918,0.044667729,0.977923126,0.39082926,0.438248479,2.86E-05,7.58E-07,3.48E-05,0.10068214,0.102147419,0.101382168,0.096839342,0.105955437,0.045757753,0.02172641,0.976568698,2.84E-06,lumo (eV)
vertical_excitation_energy (eV),0.725726599,0.034891242,,0.350991441,0.354272959,0.344281243,0.040590806,0.04966624,0.034482486,0.120531833,0.143512642,0.328454301,0.892844797,0.77115169,0.033524389,0.689901792,0.574869054,0.000294053,0.00029493,0.000339055,0.040561669,0.037909401,0.040108683,0.045850087,0.03445528,0.764622021,0.900077855,0.033681557,0.000188986,vertical_excitation_energy (eV)
zpve_S0 (eV),0.374591587,0.130966888,0.350991441,,0.999606874,0.999868289,0.062746153,0.050100116,0.055034477,0.095692005,0.112105158,0.149040315,0.28339868,0.243729818,0.115435097,0.370142617,0.299938108,2.76E-05,1.95E-07,3.22E-05,0.062684014,0.059887498,0.058728747,0.052023319,0.054975546,0.242490846,0.317423965,0.116474314,1.67E-05,zpve_S0 (eV)
zpve_S1 (eV),0.398922641,0.161635072,0.354272959,0.999606874,,0.999704173,0.052571808,0.050424076,0.048572829,0.092411631,0.112061869,0.128592596,0.295337234,0.267163155,0.143156405,0.381633001,0.340693201,1.50E-05,1.20E-07,1.88E-05,0.052518656,0.052751125,0.053120701,0.05248042,0.048520952,0.265255736,0.328969061,0.144171656,7.75E-06,zpve_S1 (eV)
zpve_T1 (eV),0.372656567,0.136873475,0.344281243,0.999868289,0.999704173,,0.05493484,0.044613634,0.055029625,0.092544473,0.111042875,0.152141347,0.289417747,0.250251985,0.118513709,0.377726447,0.307226691,3.10E-05,5.09E-09,3.41E-05,0.054876356,0.053322636,0.052229638,0.048233232,0.054970649,0.248833156,0.321982182,0.119626192,1.87E-05,zpve_T1 (eV)
total_electronic_energy_S0 (eV),0.000748865,0.100642644,0.040590806,0.062746153,0.052571808,0.05493484,,0.999999999,0.999999999,0.000501345,0.000140527,0.003699497,0.061640207,0.050525469,0.110933068,0.000920581,5.86E-05,0.001864406,0.003223089,0.001990101,0.999999984,0.99999998,0.995818482,0.999999989,0.999999987,0.047607446,0.048952432,0.110021203,0.001642031,total_electronic_energy_S0 (eV)
total_electronic_energy_S1 (eV),0.004265197,0.082334119,0.04966624,0.050100116,0.050424076,0.044613634,0.999999999,,0.999999999,0.000649644,0.000678738,0.002445763,0.061658128,0.069028213,0.091797582,0.000922564,0.0011946,0.003234673,0.003222992,0.003345503,0.999999983,0.999999979,0.992285322,0.999999988,0.999999987,0.065600442,0.055302607,0.091328026,0.003234679,total_electronic_energy_S1 (eV)
total_electronic_energy_T1 (eV),6.61E-05,0.105914295,0.034482486,0.055034477,0.048572829,0.055029625,0.999999999,0.999999999,,0.000577176,0.000170476,0.003525318,0.05625243,0.050542339,0.117149739,0.000211898,5.81E-05,0.002001023,0.003346662,0.001990054,0.999999977,0.999999973,0.995571772,0.999999985,0.999999983,0.047623779,0.043906251,0.116143433,0.001761696,total_electronic_energy_T1 (eV)
dipole_moment_norm_S0 (D),0.122771322,0.008699176,0.120531833,0.095692005,0.092411631,0.092544473,0.000501345,0.000649644,0.000577176,,0.918884401,0.48036386,0.086088882,0.096615683,0.010453927,0.068804253,0.080127958,2.46E-06,1.82E-06,3.19E-06,0.000503179,0.000640673,0.000443473,0.001117993,0.00057912,0.098133785,0.10252527,0.010314011,3.85E-07,dipole_moment_norm_S0 (D)
dipole_moment_norm_S1 (D),0.128405905,0.006290736,0.143512642,0.112105158,0.112061869,0.111042875,0.000140527,0.000678738,0.000170476,0.918884401,,0.460217057,0.091411621,0.111407707,0.007639344,0.064036929,0.085760913,8.42E-06,2.04E-07,1.03E-05,0.000139582,0.000201362,0.000265214,0.00019285,0.000169429,0.112786198,0.111015476,0.007652022,1.09E-06,dipole_moment_norm_S1 (D)
dipole_moment_norm_T1 (D),0.331189194,0.013142289,0.328454301,0.149040315,0.128592596,0.152141347,0.003699497,0.002445763,0.003525318,0.48036386,0.460217057,,0.265605139,0.217970313,0.016030541,0.207778856,0.175086799,0.000701896,0.00072758,0.00071529,0.003705906,0.004135259,0.003523063,0.004303836,0.003531691,0.220303699,0.286231272,0.015814408,0.000418995,dipole_moment_norm_T1 (D)
0-0_S1 (eV),0.568309087,0.016360918,0.892844797,0.28339868,0.295337234,0.289417747,0.061640207,0.061658128,0.05625243,0.086088882,0.091411621,0.265605139,,0.642512077,0.012269044,0.717994686,0.450229549,6.35E-05,7.02E-05,7.67E-05,0.061613941,0.05946212,0.062200882,0.061630819,0.056226251,0.633223172,0.993990056,0.012221366,6.35E-05,0-0_S1 (eV)
0-0_T1 (eV),0.703358917,0.044667729,0.77115169,0.243729818,0.267163155,0.250251985,0.050525469,0.069028213,0.050542339,0.096615683,0.111407707,0.217970313,0.642512077,,0.046028927,0.531593429,0.752440799,6.10E-06,3.05E-06,9.10E-06,0.050498904,0.048321853,0.050464007,0.064743971,0.050514979,0.993231855,0.663276281,0.046150111,4.81E-07,0-0_T1 (eV)
reduction_potential_S0 (eV),0.357022143,0.977923126,0.033524389,0.115435097,0.143156405,0.118513709,0.110933068,0.091797582,0.117149739,0.010453927,0.007639344,0.016030541,0.012269044,0.046028927,,0.386424895,0.451677601,0.000100261,5.75E-05,0.000115325,0.110972559,0.110987869,0.112217141,0.107020042,0.117190864,0.045875093,0.017750144,0.99811513,3.98E-05,reduction_potential_S0 (eV)
reduction_potential_S1 (eV),0.821432692,0.39082926,0.689901792,0.370142617,0.381633001,0.377726447,0.000920581,0.000922564,0.000211898,0.068804253,0.064036929,0.207778856,0.717994686,0.531593429,0.386424895,,0.77573688,0.000105471,0.000112718,0.000123723,0.000916412,0.000915456,0.000905609,0.000918268,0.000209835,0.524993617,0.716807217,0.385713176,0.000105467,reduction_potential_S1 (eV)
reduction_potential_T1 (eV),0.883756099,0.438248479,0.574869054,0.299938108,0.340693201,0.307226691,5.86E-05,0.0011946,5.81E-05,0.080127958,0.085760913,0.175086799,0.450229549,0.752440799,0.451677601,0.77573688,,5.23E-05,7.40E-06,5.93E-05,5.98E-05,6.01E-05,0.000116468,0.000231982,5.93E-05,0.747664726,0.468215262,0.451279487,1.52E-05,reduction_potential_T1 (eV)
oxidation_potential_S0 (eV),0.00022091,2.86E-05,0.000294053,2.76E-05,1.50E-05,3.10E-05,0.001864406,0.003234673,0.002001023,2.46E-06,8.42E-06,0.000701896,6.35E-05,6.10E-06,0.000100261,0.000105471,5.23E-05,,0.99999983,0.999999701,0.001864573,0.001945057,0.000369127,0.00216031,0.002001207,1.49E-07,8.95E-05,9.93E-05,0.930093906,oxidation_potential_S0 (eV)
oxidation_potential_S1 (eV),0.000139715,7.58E-07,0.00029493,1.95E-07,1.20E-07,5.09E-09,0.003223089,0.003222992,0.003346662,1.82E-06,2.04E-07,0.00072758,7.02E-05,3.05E-06,5.75E-05,0.000112718,7.40E-06,0.99999983,,0.999999936,0.003223228,0.003336405,0.001011381,0.003223141,0.003346819,2.02E-05,6.31E-05,5.66E-05,0.999999829,oxidation_potential_S1 (eV)
oxidation_potential_T1 (eV),0.000270231,3.48E-05,0.000339055,3.22E-05,1.88E-05,3.41E-05,0.001990101,0.003345503,0.001990054,3.19E-06,1.03E-05,0.00071529,7.67E-05,9.10E-06,0.000115325,0.000123723,5.93E-05,0.999999701,0.999999936,,0.001990276,0.002073458,0.000395381,0.002262729,0.001990241,8.66E-07,0.000107841,0.000114224,0.930091457,oxidation_potential_T1 (eV)
free_energy_S0,0.000744355,0.10068214,0.040561669,0.062684014,0.052518656,0.054876356,0.999999984,0.999999983,0.999999977,0.000503179,0.000139582,0.003705906,0.061613941,0.050498904,0.110972559,0.000916412,5.98E-05,0.001864573,0.003223228,0.001990276,,0.999999999,0.995818283,0.999999999,0.999999999,0.04758162,0.048924587,0.110060634,0.001642166,free_energy_S0
free_energy_AN,0.000461008,0.102147419,0.037909401,0.059887498,0.052751125,0.053322636,0.99999998,0.999999979,0.999999973,0.000640673,0.000201362,0.004135259,0.05946212,0.048321853,0.110987869,0.000915456,6.01E-05,0.001945057,0.003336405,0.002073458,0.999999999,,0.995720183,0.999999998,0.999999997,0.045646973,0.047695485,0.110075906,0.001710792,free_energy_AN
free_energy_CAT,0.000584734,0.101382168,0.040108683,0.058728747,0.053120701,0.052229638,0.995818482,0.992285322,0.995571772,0.000443473,0.000265214,0.003523063,0.062200882,0.050464007,0.112217141,0.000905609,0.000116468,0.000369127,0.001011381,0.000395381,0.995818283,0.995720183,,0.995325727,0.995571559,0.047425417,0.049838985,0.111276476,0.000584395,free_energy_CAT
free_energy_S1,0.001427787,0.096839342,0.045850087,0.052023319,0.05248042,0.048233232,0.999999989,0.999999988,0.999999985,0.001117993,0.00019285,0.004303836,0.061630819,0.064743971,0.107020042,0.000918268,0.000231982,0.00216031,0.003223141,0.002262729,0.999999999,0.999999998,0.995325727,,0.999999999,0.061473285,0.048940577,0.106186968,0.001895824,free_energy_S1
free_energy_T1,6.47E-05,0.105955437,0.03445528,0.054975546,0.048520952,0.054970649,0.999999987,0.999999987,0.999999983,0.00057912,0.000169429,0.003531691,0.056226251,0.050514979,0.117190864,0.000209835,5.93E-05,0.002001207,0.003346819,0.001990241,0.999999999,0.999999997,0.995571559,0.999999999,,0.047597304,0.043879053,0.116184532,0.001761845,free_energy_T1
adiabatic_T1-S0 (kcal/mol),0.699092206,0.045757753,0.764622021,0.242490846,0.265255736,0.248833156,0.047607446,0.065600442,0.047623779,0.098133785,0.112786198,0.220303699,0.633223172,0.993231855,0.045875093,0.524993617,0.747664726,1.49E-07,2.02E-05,8.66E-07,0.04758162,0.045646973,0.047425417,0.061473285,0.047597304,,0.662907695,0.045400469,1.49E-06,adiabatic_T1-S0 (kcal/mol)
adiabatic_S1-S0 (kcal/mol),0.590081383,0.02172641,0.900077855,0.317423965,0.328969061,0.321982182,0.048952432,0.055302607,0.043906251,0.10252527,0.111015476,0.286231272,0.993990056,0.663276281,0.017750144,0.716807217,0.468215262,8.95E-05,6.31E-05,0.000107841,0.048924587,0.047695485,0.049838985,0.048940577,0.043879053,0.662907695,,0.017485584,5.47E-05,adiabatic_S1-S0 (kcal/mol)
reduction_S0 (kcal/mol),0.356628473,0.976568698,0.033681557,0.116474314,0.144171656,0.119626192,0.110021203,0.091328026,0.116143433,0.010314011,0.007652022,0.015814408,0.012221366,0.046150111,0.99811513,0.385713176,0.451279487,9.93E-05,5.66E-05,0.000114224,0.110060634,0.110075906,0.111276476,0.106186968,0.116184532,0.045400469,0.017485584,,3.93E-05,reduction_S0 (kcal/mol)
oxidation_S0 (kcal/mol),0.000101168,2.84E-06,0.000188986,1.67E-05,7.75E-06,1.87E-05,0.001642031,0.003234679,0.001761696,3.85E-07,1.09E-06,0.000418995,6.35E-05,4.81E-07,3.98E-05,0.000105467,1.52E-05,0.930093906,0.999999829,0.930091457,0.001642166,0.001710792,0.000584395,0.001895824,0.001761845,1.49E-06,5.47E-05,3.93E-05,,oxidation_S0 (kcal/mol)